3996	0,00	0,00
3998	0,00	0,00
4001	10,00	0,00
4004	10,00	0,00
4006	10,00	0,00
4009	10,00	0,19
4013	10,00	0,33
4016	10,00	0,45
4019	10,00	0,64
4022	10,00	0,79
4025	10,00	1,00
4028	10,00	1,17
4031	10,00	1,31
4034	10,00	1,51
4037	10,00	1,49
4039	10,00	1,66
4042	10,00	1,79
4045	10,00	1,80
4048	10,00	1,72
4051	10,00	1,75
4055	10,00	1,68
4058	10,00	1,71
4061	10,00	1,74
4064	10,00	1,76
4067	10,00	1,88
6261	0,00	0,00
6264	0,00	0,00
6267	0,00	0,00
6270	0,00	0,00
6273	0,00	0,00
6276	0,00	0,00
6279	0,00	0,00

6282	0,00	0,00

6284	0,00	0,00

6287	0,00	0,00

6290	0,00	0,00

6293	0,00	0,00

6295	0,00	0,00

6298	0,00	0,00

6301	0,00	0,00

6304	0,00	0,00

6307	0,00	0,00

6309	0,00	0,00

6312	0,00	0,00

6316	0,00	0,00

6319	0,00	0,00

6321	0,00	0,00

6324	0,00	0,00

6327	0,00	0,00

6330	0,00	0,00

6332	0,00	0,00

6335	0,00	0,00

6338	0,00	0,00

6341	0,00	0,00

6343	0,00	0,00

6346	0,00	0,00

6349	0,00	0,00

6352	0,00	0,00

6355	0,00	0,00

6358	0,00	0,00

6361	0,00	0,00

6364	0,00	0,00

6367	0,00	0,00

6369	0,00	0,00

6372	0,00	0,00

6375	0,00	0,00

6378	0,00	0,00

6380	0,00	0,00

6383	0,00	0,00

6386	0,00	0,00

6389	0,00	0,00

6391	0,00	0,00

6394	0,00	0,00

6397	0,00	0,00

6401	0,00	0,00

6404	0,00	0,00

6406	0,00	0,00

6409	0,00	0,00

6412	0,00	0,00

6415	0,00	0,00

6417	0,00	0,00

6420	0,00	0,00

6423	0,00	0,00

6426	0,00	0,00

6428	0,00	0,00

6431	0,00	0,00

6434	0,00	0,00

6437	0,00	0,00

6439	0,00	0,00

6443	0,00	0,00

6446	0,00	0,00

6449	0,00	0,00

6452	0,00	0,00

6454	0,00	0,00

6457	0,00	0,00

6460	0,00	0,00

6463	0,00	0,00

6465	0,00	0,00

6468	0,00	0,00

6471	0,00	0,00

6474	0,00	0,00

6476	0,00	0,00

6479	0,00	0,00

6482	0,00	0,00

6486	0,00	0,00

6488	0,00	0,00

6491	0,00	0,00

6494	0,00	0,00

6497	0,00	0,00

6499	0,00	0,00

6502	0,00	0,00

6505	0,00	0,00

6508	0,00	0,00

6511	0,00	0,00

6513	0,00	0,00

6516	0,00	0,00

6519	0,00	0,00

6522	0,00	0,00

6524	0,00	0,00

6528	0,00	0,00

6531	0,00	0,00

6534	0,00	0,00

6536	0,00	0,00

6539	0,00	0,00

6542	0,00	0,00

6545	0,00	0,00

6547	0,00	0,00

6550	0,00	0,00

6553	0,00	0,00

6556	0,00	0,00

6559	0,00	0,00

6561	0,00	0,00

6564	0,00	0,00

6567	0,00	0,00

6571	0,00	0,00

6573	0,00	0,00

6576	0,00	0,00

6579	0,00	0,00

6582	0,00	0,00

6584	0,00	0,00

6587	0,00	0,00

6590	0,00	0,00

6593	0,00	0,00

6596	0,00	0,00

6598	0,00	0,00

